Date,Open,High,Low,Close,Adj Close,Volume
2015-10-06,1136.300049,1150.000000,1136.300049,1146.800049,1146.800049,145
2015-10-07,1147.599976,1152.900024,1143.000000,1149.000000,1149.000000,104
2015-10-08,1142.699951,1146.699951,1138.699951,1144.699951,1144.699951,138
2015-10-09,1151.599976,1157.199951,1151.599976,1156.300049,1156.300049,22
2015-10-12,1155.900024,1166.800049,1155.900024,1164.900024,1164.900024,40
2015-10-13,1163.500000,1166.199951,1154.900024,1165.800049,1165.800049,132
2015-10-14,1172.400024,1189.000000,1167.300049,1180.099976,1180.099976,143
2015-10-15,1184.199951,1188.300049,1177.800049,1187.900024,1187.900024,143
2015-10-16,1182.500000,1184.099976,1176.199951,1183.599976,1183.599976,243
2015-10-19,1176.500000,1177.800049,1169.300049,1173.300049,1173.300049,62
2015-10-20,1168.699951,1179.099976,1168.699951,1178.000000,1178.000000,19
2015-10-21,1175.900024,1176.400024,1164.900024,1167.599976,1167.599976,41
2015-10-22,1166.199951,1168.599976,1163.500000,1166.599976,1166.599976,48
2015-10-23,1166.199951,1178.699951,1163.300049,1163.300049,1163.300049,38
2015-10-26,1165.099976,1170.000000,1163.800049,1167.000000,1167.000000,176
2015-10-27,1164.500000,1166.800049,1162.000000,1166.800049,1166.800049,302
2015-10-28,1175.099976,1182.699951,1175.099976,1177.099976,1177.099976,217
2015-10-29,1158.000000,1162.000000,1144.900024,1147.199951,1147.199951,329
2015-10-30,1147.500000,1147.599976,1139.199951,1141.500000,1141.500000,249
2015-11-02,1137.900024,1138.699951,1132.599976,1135.800049,1135.800049,180
2015-11-03,1133.300049,1134.699951,1114.199951,1114.199951,1114.199951,185
2015-11-04,1119.000000,1121.900024,1106.500000,1106.500000,1106.500000,141
2015-11-05,1107.900024,1110.699951,1104.400024,1104.400024,1104.400024,84
2015-11-06,1105.199951,1109.500000,1084.800049,1087.599976,1087.599976,78
2015-11-09,1088.599976,1088.599976,1087.900024,1087.900024,1087.900024,5
2015-11-10,1090.099976,1091.300049,1085.000000,1088.199951,1088.199951,18
2015-11-11,1091.400024,1091.400024,1084.199951,1084.699951,1084.699951,15
2015-11-12,1086.000000,1086.599976,1080.800049,1080.800049,1080.800049,4
2015-11-13,1083.099976,1085.900024,1080.800049,1080.800049,1080.800049,23
2015-11-16,1092.000000,1092.400024,1083.699951,1083.699951,1083.699951,11
2015-11-17,1075.500000,1075.800049,1065.099976,1068.699951,1068.699951,6
2015-11-18,1064.000000,1071.900024,1064.000000,1068.800049,1068.800049,5
2015-11-19,1077.400024,1082.400024,1077.400024,1078.000000,1078.000000,10
2015-11-20,1082.900024,1082.900024,1076.400024,1076.400024,1076.400024,5
2015-11-23,1070.000000,1071.500000,1066.800049,1066.800049,1066.800049,57
2015-11-24,1073.199951,1079.400024,1073.199951,1074.300049,1074.300049,222
2015-11-25,1070.199951,1072.000000,1068.500000,1070.500000,1070.500000,148662
2015-11-27,1070.699951,1074.199951,1051.099976,1056.199951,1056.199951,52133
2015-11-30,1056.500000,1068.400024,1052.099976,1065.800049,1065.800049,4601
2015-12-01,1064.599976,1074.599976,1063.400024,1063.800049,1063.800049,3441
2015-12-02,1068.699951,1069.500000,1049.599976,1054.199951,1054.199951,503
2015-12-03,1054.400024,1064.599976,1046.199951,1061.699951,1061.699951,1161
2015-12-04,1063.000000,1088.800049,1058.699951,1084.500000,1084.500000,889
2015-12-07,1084.900024,1086.500000,1067.400024,1076.400024,1076.400024,656
2015-12-08,1071.000000,1078.400024,1069.599976,1076.300049,1076.300049,306
2015-12-09,1075.099976,1086.000000,1070.599976,1077.599976,1077.599976,386
2015-12-10,1073.000000,1076.300049,1071.699951,1073.099976,1073.099976,226
2015-12-11,1067.800049,1079.400024,1064.400024,1076.900024,1076.900024,410
2015-12-14,1074.000000,1076.699951,1060.000000,1064.699951,1064.699951,509
2015-12-15,1064.599976,1066.199951,1061.800049,1062.900024,1062.900024,220
2015-12-16,1064.800049,1078.699951,1064.300049,1078.000000,1078.000000,81
2015-12-17,1072.599976,1072.599976,1050.500000,1050.800049,1050.800049,56
2015-12-18,1053.699951,1070.300049,1052.699951,1066.199951,1066.199951,253
2015-12-21,1070.199951,1081.900024,1070.199951,1081.900024,1081.900024,26
2015-12-22,1078.599976,1078.599976,1073.800049,1074.800049,1074.800049,106
2015-12-23,1074.500000,1074.800049,1069.400024,1069.400024,1069.400024,202
2015-12-24,1074.300049,1077.800049,1073.500000,1077.199951,1077.199951,24
2015-12-28,1077.900024,1098.800049,1070.500000,1070.500000,1070.500000,361
2015-12-29,1079.099976,1079.699951,1077.500000,1077.500000,1077.500000,252
2015-12-30,1068.599976,1070.199951,1059.699951,1060.099976,1060.099976,71
2015-12-31,1061.900024,1062.000000,1058.500000,1060.300049,1060.300049,10
2016-01-04,1063.400024,1082.500000,1063.199951,1075.099976,1075.099976,143
2016-01-05,1075.599976,1081.500000,1075.300049,1078.400024,1078.400024,82
2016-01-06,1081.599976,1093.699951,1081.599976,1091.900024,1091.900024,52
2016-01-07,1091.599976,1109.400024,1091.599976,1107.699951,1107.699951,122
2016-01-08,1111.099976,1111.099976,1093.000000,1097.800049,1097.800049,98
2016-01-11,1105.699951,1107.900024,1096.500000,1096.500000,1096.500000,43
2016-01-12,1093.800049,1098.500000,1084.000000,1085.599976,1085.599976,87
2016-01-13,1081.500000,1093.900024,1081.500000,1087.500000,1087.500000,50
2016-01-14,1091.500000,1091.500000,1073.699951,1073.900024,1073.900024,59
2016-01-15,1085.000000,1095.800049,1081.800049,1091.500000,1091.500000,44
2016-01-18,null,null,null,null,null,null
2016-01-19,1089.800049,1094.400024,1084.900024,1089.900024,1089.900024,17
2016-01-20,1099.800049,1109.800049,1099.800049,1107.099976,1107.099976,30
2016-01-21,1103.599976,1103.599976,1094.099976,1099.099976,1099.099976,16
2016-01-22,1098.000000,1103.199951,1097.199951,1097.199951,1097.199951,4
2016-01-25,1099.300049,1109.300049,1099.300049,1106.199951,1106.199951,8
2016-01-26,1115.099976,1121.699951,1114.300049,1121.699951,1121.699951,181
2016-01-27,1117.800049,1117.800049,1115.800049,1116.099976,1116.099976,168706
2016-01-28,1125.400024,1125.699951,1109.800049,1115.599976,1115.599976,52861
2016-01-29,1114.400024,1118.599976,1108.800049,1116.400024,1116.400024,6955
